GrNr;TrialNr;ParticipantNr;EMO;SIG;SYNCIX
1;1;1;-1;0.37390085;0.92138518
1;1;2;-1;0.42444895;0.5670192
1;1;3;-1;0.21929681;0.92296665
1;1;4;0;0.14040423;0.87521396
1;2;1;-1;0.051817371;0.98610264
1;2;2;-1;0.13229932;0.95915007
1;2;3;-1;0.041537903;0.9774538
1;2;4;1;0.047857796;0.98553974
1;3;1;-1;0.022160965;0.97514537
1;3;2;-1;0.037944857;0.99049592
1;3;3;0;0.061179206;0.90278861
1;3;4;-1;0.041463202;0.96537386
1;4;1;-1;0.005551827;0.98146304
1;4;2;-1;0.010376074;0.97558597
1;4;3;0;0.006081688;0.9788261
1;4;4;1;0.007885205;0.97952246
1;5;1;-1;0.05235409;0.96610051
1;5;2;-1;0.041387452;0.97767189
1;5;3;1;0.01630364;0.97641897
1;5;4;-1;0.024536769;0.9729042
1;6;1;-1;0.008742002;0.96964375
1;6;2;-1;0.02129929;0.98417284
1;6;3;1;0.02181238;0.98853401
1;6;4;0;0.064769335;0.98494531
1;7;1;-1;0.021044275;0.97978102
1;7;2;0;0.018862809;0.9582422
1;7;3;-1;0.034337596;0.97080464
1;7;4;0;0.024844498;0.98345638
1;8;1;-1;0.010174708;0.96847551
1;8;2;0;0.038000095;0.9829726
1;8;3;-1;0.03835944;0.99587745
1;8;4;1;0.092385194;0.9702767
1;9;1;-1;0.011393925;0.9780335
1;9;2;0;0.007669969;0.98262104
1;9;3;0;0.008247463;0.98009867
1;9;4;-1;0.019233277;0.98147859
1;10;1;-1;0.093741637;0.97202699
1;10;2;0;0.09195764;0.9735428
1;10;3;0;0.1184225;0.98106208
1;10;4;1;0.32981363;0.84621992
1;11;1;-1;0.037304305;0.9481333
1;11;2;0;0.061198152;0.98677896
1;11;3;1;0.070119786;0.95059747
1;11;4;-1;0.16168417;0.77337366
1;12;1;-1;0.062193638;0.98628494
1;12;2;0;0.054893924;0.99550719
1;12;3;1;0.033447238;0.92886855
1;12;4;0;0.066098798;0.97217479
1;13;1;-1;0.065497331;0.96823046
1;13;2;1;0.064390326;0.96936665
1;13;3;-1;0.059916444;0.9245142
1;13;4;0;0.19883602;0.737458
1;14;1;-1;0.008654129;0.9796123
1;14;2;1;0.019999812;0.96105809
1;14;3;-1;0.016676127;0.96000996
1;14;4;1;0.036495885;0.95845384
1;15;1;-1;0.010002315;0.96212401
1;15;2;1;0.048340801;0.98159502
1;15;3;0;0.06019859;0.96828915
1;15;4;-1;0.036157826;0.98639016
1;16;1;-1;0.045516648;0.92728714
1;16;2;1;0.025344299;0.96889957
1;16;3;0;0.034851888;0.97764356
1;16;4;1;0.018052344;0.94970289
1;17;1;-1;0.05401016;0.97170936
1;17;2;1;0.073217862;0.96663457
1;17;3;1;0.14941769;0.77535693
1;17;4;-1;0.10292846;0.89942486
1;18;1;-1;0.039179215;0.98029598
1;18;2;1;0.010400596;0.96398537
1;18;3;1;0.067978015;0.96515883
1;18;4;0;0.1837273;0.96849222
1;19;1;0;0.03519657;0.93855264
1;19;2;-1;0.1526819;0.9579599
1;19;3;-1;0.12955331;0.92668432
1;19;4;0;0.47199361;0.42529457
1;20;1;0;0.023298761;0.99070661
1;20;2;-1;0.005328489;0.98440439
1;20;3;-1;0.012024342;0.98891211
1;20;4;1;0.067150568;0.97734106
1;21;1;0;0.014719601;0.97350998
1;21;2;-1;0.013929452;0.97255765
1;21;3;0;0.05703811;0.92861826
1;21;4;-1;0.034532382;0.9747286
1;22;1;0;0.004863466;0.96583718
1;22;2;-1;0.016568198;0.97260821
1;22;3;0;0.061179593;0.92227733
1;22;4;1;0.033355808;0.99051684
1;23;1;0;0.011046648;0.98644443
1;23;2;-1;0.009296188;0.9878766
1;23;3;1;0.017871696;0.97067246
1;23;4;-1;0.016238696;0.98440879
1;24;1;0;0.019720473;0.97946824
1;24;2;-1;0.021211306;0.9783827
1;24;3;1;0.029997707;0.94615144
1;24;4;0;0.027844376;0.98471869
1;25;1;0;0.062796229;0.93564163
1;25;2;0;0.05979592;0.98293644
1;25;3;-1;0.024692145;0.93636849
1;25;4;0;0.17597006;0.88045766
1;26;1;0;0.14994702;0.80534707
1;26;2;0;0.043199935;0.97702011
1;26;3;-1;0.071639899;0.9411627
1;26;4;1;0.036018587;0.95639728
1;27;1;0;0.042851407;0.97281122
1;27;2;0;0.037775812;0.95703577
1;27;3;0;0.075065994;0.93968862
1;27;4;-1;0.094695365;0.84622637
1;28;1;0;0.18354539;0.97143107
1;28;2;0;0.043421108;0.96892379
1;28;3;0;0.055610266;0.97559277
1;28;4;1;0.021568228;0.9715277
1;29;1;0;0.006565574;0.95885128
1;29;2;0;0.026863909;0.98688395
1;29;3;1;0.031365692;0.93531735
1;29;4;-1;0.047722751;0.98146383
1;30;1;0;0.008777007;0.98443041
1;30;2;0;0.00513881;0.99114851
1;30;3;1;0.007967418;0.98643007
1;30;4;0;0.026501257;0.98122727
1;31;1;0;0.043591896;0.93858126
1;31;2;1;0.033191413;0.97616108
1;31;3;-1;0.10069417;0.85472392
1;31;4;0;0.026751067;0.96957431
1;32;1;0;0.040223601;0.98285425
1;32;2;1;0.045039579;0.98300469
1;32;3;-1;0.034893583;0.98720618
1;32;4;1;0.20239835;0.96717443
1;33;1;0;0.047677283;0.97815979
1;33;2;1;0.031186588;0.97150858
1;33;3;0;0.093511441;0.88340805
1;33;4;-1;0.047580219;0.97737155
1;34;1;0;0.040876006;0.92110093
1;34;2;1;0.029475651;0.96553871
1;34;3;0;0.032248656;0.96123756
1;34;4;1;0.031804278;0.9539657
1;35;1;0;0.038483773;0.96443842
1;35;2;1;0.032248152;0.97986157
1;35;3;1;0.11020757;0.85085482
1;35;4;-1;0.035120581;0.97155894
1;36;1;0;0.016814034;0.99117085
1;36;2;1;0.005094075;0.96996276
1;36;3;1;0.00788545;0.96768157
1;36;4;0;0.062635578;0.97647525
1;37;1;1;0.018423315;0.93830312
1;37;2;-1;0.059957169;0.98942423
1;37;3;-1;0.044614451;0.96589425
1;37;4;0;0.1406487;0.91385322
1;38;1;1;0.012032387;0.96239881
1;38;2;-1;0.031839494;0.96934918
1;38;3;-1;0.03022009;0.9771362
1;38;4;1;0.083821024;0.95831391
1;39;1;1;0.032940537;0.98771894
1;39;2;-1;0.017452508;0.9718854
1;39;3;0;0.082690098;0.95483889
1;39;4;-1;0.032576616;0.97702388
1;40;1;1;0.051040721;0.96730081
1;40;2;-1;0.035184897;0.97796548
1;40;3;0;0.037928489;0.96942185
1;40;4;1;0.10317379;0.94180768
1;41;1;1;0.060233819;0.98511875
1;41;2;-1;0.02443372;0.96890534
1;41;3;1;0.044145756;0.9527455
1;41;4;-1;0.23211217;0.97510168
1;42;1;1;0.016012741;0.97275067
1;42;2;-1;0.005973642;0.98024373
1;42;3;1;0.008480679;0.98724958
1;42;4;0;0.029444255;0.96213526
1;43;1;1;0.12432581;0.83693814
1;43;2;0;0.059401262;0.95661835
1;43;3;-1;0.10329149;0.83051113
1;43;4;0;0.11893107;0.91123615
1;44;1;1;0.064707977;0.96579884
1;44;2;0;0.032512464;0.94692661
1;44;3;-1;0.049024211;0.96800166
1;44;4;1;0.14931914;0.95379521
1;45;1;1;0.044887663;0.97919929
1;45;2;0;0.034605388;0.94490489
1;45;3;0;0.059076779;0.87369586
1;45;4;-1;0.095809343;0.93267026
1;46;1;1;0.071858975;0.97118641
1;46;2;0;0.075318888;0.97322581
1;46;3;0;0.068342785;0.9684256
1;46;4;1;0.21980029;0.97069017
1;47;1;1;0.038296072;0.98884061
1;47;2;0;0.024865991;0.97581647
1;47;3;1;0.049195565;0.95549331
1;47;4;-1;0.036844011;0.94893345
1;48;1;1;0.031926854;0.9651351
1;48;2;0;0.029927682;0.97102708
1;48;3;1;0.029379339;0.92293513
1;48;4;0;0.084194726;0.96054545
1;49;1;1;0.027328835;0.97455664
1;49;2;1;0.027897834;0.96027888
1;49;3;-1;0.019428469;0.9859057
1;49;4;0;0.029975205;0.96788578
1;50;1;1;0.049745302;0.97995778
1;50;2;1;0.096173034;0.92969442
1;50;3;-1;0.032610923;0.97759849
1;50;4;1;0.019525834;0.95055916
1;51;1;1;0.18668692;0.98826927
1;51;2;1;0.45259069;0.95321686
1;51;3;0;0.14565912;0.95423555
1;51;4;-1;0.16270439;0.96479903
1;52;1;1;0.008637643;0.97654707
1;52;2;1;0.01101141;0.98474313
1;52;3;0;0.023837832;0.98408104
1;52;4;1;0.034234255;0.98387191
1;53;1;1;0.022863743;0.97234622
1;53;2;1;0.019902325;0.99557789
1;53;3;1;0.018877298;0.97945681
1;53;4;-1;0.024780078;0.98373775
1;54;1;1;0.064920256;0.97778362
1;54;2;1;0.042698859;0.98769963
1;54;3;1;0.078719349;0.96398896
1;54;4;0;0.035272206;0.94793752
2;1;5;-1;0.23270754;0.66491144
2;1;6;-1;0.10903629;0.89718532
2;1;7;-1;0.14599852;0.94230302
2;1;8;0;0.27740528;0.68314952
2;2;5;-1;0.47527777;0.50599658
2;2;6;-1;0.13786848;0.97397988
2;2;7;-1;0.098578437;0.97076101
2;2;8;1;0.1013102;0.94590728
2;3;5;-1;0.03090782;0.96464785
2;3;6;-1;0.057534984;0.97809924
2;3;7;0;0.021926277;0.95942419
2;3;8;-1;0.09126472;0.94315377
2;4;5;-1;0.14567582;0.75218773
2;4;6;-1;0.25225965;0.76931332
2;4;7;0;0.41164011;0.17080523
2;4;8;1;0.36758325;0.42874091
2;5;5;-1;0.010239186;0.96915457
2;5;6;-1;0.010885875;0.97551417
2;5;7;1;0.02146083;0.96990277
2;5;8;-1;0.021109726;0.97322977
2;6;5;-1;0.078648405;0.95205406
2;6;6;-1;0.087308821;0.98425001
2;6;7;1;0.18807068;0.94397447
2;6;8;0;0.032337391;0.9325874
2;7;5;-1;0.026856365;0.97714141
2;7;6;0;0.021675419;0.98922025
2;7;7;-1;0.081343918;0.96794806
2;7;8;0;0.012560325;0.97177321
2;8;5;-1;0.036073205;0.92036369
2;8;6;0;0.050693534;0.96737998
2;8;7;-1;0.096781689;0.9034505
2;8;8;1;0.050125551;0.94216914
2;9;5;-1;0.12652949;0.77990935
2;9;6;0;0.054025125;0.92295752
2;9;7;0;0.022652347;0.85964467
2;9;8;-1;0.13861983;0.76724385
2;10;5;-1;0.30763439;0.58544714
2;10;6;0;0.10175236;0.94550286
2;10;7;0;0.10485928;0.93815691
2;10;8;1;0.086234054;0.87108514
2;11;5;-1;0.099104083;0.90848467
2;11;6;0;0.037376282;0.95334204
2;11;7;1;0.043739709;0.92292394
2;11;8;-1;0.06436964;0.9476225
2;12;5;-1;0.050091853;0.97123313
2;12;6;0;0.073313017;0.92687029
2;12;7;1;0.057559619;0.93289547
2;12;8;0;0.091837064;0.84527835
2;13;5;-1;0.074243176;0.89199637
2;13;6;1;0.052129955;0.97214131
2;13;7;-1;0.057202855;0.91432096
2;13;8;0;0.033048869;0.91704092
2;14;5;-1;0.074727661;0.86354874
2;14;6;1;0.049229348;0.94520015
2;14;7;-1;0.042619802;0.94358177
2;14;8;1;0.061690126;0.94244951
2;15;5;-1;0.17939507;0.7848917
2;15;6;1;0.096319704;0.98048709
2;15;7;0;0.11191441;0.91607492
2;15;8;-1;0.10822144;0.92276499
2;16;5;-1;0.064046735;0.9272734
2;16;6;1;0.054636706;0.97186702
2;16;7;0;0.042030078;0.95819052
2;16;8;1;0.10542228;0.82976842
2;17;5;-1;0.21787313;0.81845748
2;17;6;1;0.1097361;0.97787146
2;17;7;1;0.03839228;0.9462553
2;17;8;-1;0.085736542;0.87178585
2;18;5;-1;0.11948836;0.83037334
2;18;6;1;0.1133143;0.97382362
2;18;7;1;0.11837602;0.96825947
2;18;8;0;0.28921678;0.81081772
2;19;5;0;0.096703559;0.93852135
2;19;6;-1;0.13223607;0.94513337
2;19;7;-1;0.13075732;0.92815694
2;19;8;0;0.53027829;0.65418656
2;20;5;0;0.30261607;0.68140846
2;20;6;-1;0.098618668;0.89535149
2;20;7;-1;0.13324657;0.94156868
2;20;8;1;0.40654521;0.65734397
2;21;5;0;0.046533376;0.94152003
2;21;6;-1;0.048061641;0.9793464
2;21;7;0;0.045215629;0.95684136
2;21;8;-1;0.11268523;0.84515784
2;22;5;0;0.16940481;0.92442411
2;22;6;-1;0.10700207;0.84356511
2;22;7;0;0.11611444;0.87961744
2;22;8;1;0.60987435;0.3081778
2;23;5;0;0.026126289;0.93623099
2;23;6;-1;0.096298698;0.97764591
2;23;7;1;0.139115;0.93514359
2;23;8;-1;0.021557186;0.92050369
2;24;5;0;0.11303637;0.95796155
2;24;6;-1;0.060252744;0.94353527
2;24;7;1;0.17809337;0.91957323
2;24;8;0;0.04975098;0.85920332
2;25;5;0;0.069390557;0.96267474
2;25;6;0;0.087705219;0.97932688
2;25;7;-1;0.11836712;0.85432805
2;25;8;0;0.14410221;0.76050257
2;26;5;0;0.25017371;0.98173975
2;26;6;0;0.22419165;0.96049253
2;26;7;-1;0.094510929;0.85490698
2;26;8;1;0.74032646;0.34571347
2;27;5;0;0.063159802;0.94059599
2;27;6;0;0.050224508;0.94297892
2;27;7;0;0.031830313;0.94959795
2;27;8;-1;0.13882344;0.83052179
2;28;5;0;0.18154592;0.81869521
2;28;6;0;0.10553468;0.7158307
2;28;7;0;0.11239366;0.90500257
2;28;8;1;0.15929051;0.72494521
2;29;5;0;0.062413833;0.89346855
2;29;6;0;0.050923653;0.93559035
2;29;7;1;0.021731637;0.95861651
2;29;8;-1;0.068676467;0.87874642
2;30;5;0;0.085828552;0.94928867
2;30;6;0;0.064860853;0.96496307
2;30;7;1;0.058121385;0.94675062
2;30;8;0;0.26497502;0.66162234
2;31;5;0;0.12139146;0.90311912
2;31;6;1;0.051876321;0.96798429
2;31;7;-1;0.05644086;0.97179962
2;31;8;0;0.060396439;0.95051194
2;32;5;0;0.43193421;0.80712638
2;32;6;1;0.14114402;0.93130975
2;32;7;-1;0.12946453;0.97621963
2;32;8;1;0.12307718;0.93683583
2;33;5;0;0.17784953;0.87007541
2;33;6;1;0.057436667;0.94588298
2;33;7;0;0.059970544;0.93857102
2;33;8;-1;0.046928987;0.92408124
2;34;5;0;0.055250384;0.93546364
2;34;6;1;0.092795696;0.96516248
2;34;7;0;0.037158442;0.93251067
2;34;8;1;0.27200152;0.69708354
2;35;5;0;0.089505024;0.96004709
2;35;6;1;0.079350092;0.91988665
2;35;7;1;0.077024784;0.90058364
2;35;8;-1;0.2785104;0.65423586
2;36;5;0;0.053955924;0.89096715
2;36;6;1;0.04382498;0.96256568
2;36;7;1;0.050087052;0.96285357
2;36;8;0;0.098622589;0.94825232
2;37;5;1;0.10643922;0.86932144
2;37;6;-1;0.077521796;0.9653484
2;37;7;-1;0.074648524;0.97857409
2;37;8;0;0.14192897;0.87993361
2;38;5;1;0.047326316;0.97606204
2;38;6;-1;0.06916121;0.94512926
2;38;7;-1;0.031266193;0.9432704
2;38;8;1;0.13574674;0.85098611
2;39;5;1;0.10595941;0.92769209
2;39;6;-1;0.080650398;0.96342976
2;39;7;0;0.046548789;0.93929002
2;39;8;-1;0.28341104;0.68434781
2;40;5;1;0.10881098;0.95280866
2;40;6;-1;0.15236876;0.94803989
2;40;7;0;0.13852404;0.9249307
2;40;8;1;0.59831262;0.71564256
2;41;5;1;0.054424637;0.97159444
2;41;6;-1;0.012735191;0.94707173
2;41;7;1;0.035019995;0.94725336
2;41;8;-1;0.018382311;0.96273407
2;42;5;1;0.065839474;0.9638869
2;42;6;-1;0.088034358;0.98179812
2;42;7;1;0.0440694;0.97489893
2;42;8;0;0.21847262;0.88775705
2;43;5;1;0.061974224;0.95321659
2;43;6;0;0.07621484;0.92882738
2;43;7;-1;0.074385954;0.91464582
2;43;8;0;0.20388102;0.71094206
2;44;5;1;0.1365917;0.90901813
2;44;6;0;0.22883711;0.95419984
2;44;7;-1;0.16029577;0.93620867
2;44;8;1;0.58056536;0.27082952
2;45;5;1;0.086083855;0.84599327
2;45;6;0;0.1115058;0.89887488
2;45;7;0;0.21789847;0.94254258
2;45;8;-1;0.36144332;0.81618921
2;46;5;1;0.15638028;0.91917572
2;46;6;0;0.16815742;0.93749764
2;46;7;0;0.05552826;0.90368889
2;46;8;1;0.58452294;0.69103958
2;47;5;1;0.025192269;0.94103685
2;47;6;0;0.064880569;0.93399685
2;47;7;1;0.044184145;0.91257949
2;47;8;-1;0.094405279;0.85190784
2;48;5;1;0.033050127;0.94885469
2;48;6;0;0.030328567;0.93641719
2;48;7;1;0.091811534;0.97217902
2;48;8;0;0.10559699;0.96173176
2;49;5;1;0.057548082;0.83468965
2;49;6;1;0.072613064;0.81490182
2;49;7;-1;0.065803431;0.88136852
2;49;8;0;0.47642719;0.34430821
2;50;5;1;0.067628547;0.9263088
2;50;6;1;0.065642763;0.93596849
2;50;7;-1;0.099951859;0.9539093
2;50;8;1;0.26405271;0.64134081
2;51;5;1;0.082042587;0.7885626
2;51;6;1;0.050065969;0.75359352
2;51;7;0;0.15223285;0.93585721
2;51;8;-1;0.18492305;0.75399964
2;52;5;1;0.034014465;0.84798757
2;52;6;1;0.10335525;0.90271234
2;52;7;0;0.09964701;0.89269823
2;52;8;1;0.14492356;0.80513165
2;53;5;1;0.050655667;0.95676024
2;53;6;1;0.077183518;0.95734244
2;53;7;1;0.075978321;0.92705106
2;53;8;-1;0.15127067;0.83035585
2;54;5;1;0.030411916;0.91555802
2;54;6;1;0.032850618;0.95139333
2;54;7;1;0.11692504;0.95952157
2;54;8;0;0.11128763;0.83698524
3;1;9;-1;0.11279635;0.92639795
3;1;10;-1;0.12931803;0.88517278
3;1;11;-1;0.59715911;0.1682426
3;1;12;0;0.18179798;0.93139877
3;2;9;-1;0.1440358;0.72389031
3;2;10;-1;0.1351236;0.69815746
3;2;11;-1;0.23116299;0.56882241
3;2;12;1;0.12164406;0.82778737
3;3;9;-1;0.48283357;0.36864532
3;3;10;-1;0.079390987;0.86744342
3;3;11;0;0.14996113;0.95822422
3;3;12;-1;0.098774844;0.91594413
3;4;9;-1;0.16582141;0.95910562
3;4;10;-1;0.23599457;0.59017861
3;4;11;0;0.23737143;0.98468505
3;4;12;1;0.11747289;0.94892356
3;5;9;-1;0.11370686;0.88217852
3;5;10;-1;0.058755181;0.97886164
3;5;11;1;0.015874404;0.97407783
3;5;12;-1;0.039209705;0.9785113
3;6;9;-1;0.03027755;0.98486488
3;6;10;-1;0.057057901;0.94921855
3;6;11;1;0.052500853;0.96080136
3;6;12;0;0.024962671;0.97026955
3;7;9;-1;0.074937723;0.96088614
3;7;10;0;0.077136247;0.95259288
3;7;11;-1;0.22123348;0.71459214
3;7;12;0;0.080956933;0.97986952
3;8;9;-1;0.012225045;0.97628118
3;8;10;0;0.014491168;0.96942549
3;8;11;-1;0.007229265;0.9768016
3;8;12;1;0.023149725;0.98801124
3;9;9;-1;0.027866892;0.98767231
3;9;10;0;0.039377063;0.94929547
3;9;11;0;0.020145476;0.98946311
3;9;12;-1;0.023004628;0.9573186
3;10;9;-1;0.036004698;0.97151261
3;10;10;0;0.015950149;0.97400111
3;10;11;0;0.019048847;0.97647139
3;10;12;1;0.043541703;0.96115017
3;11;9;-1;0.011926337;0.97340065
3;11;10;0;0.011893102;0.9888745
3;11;11;1;0.014634559;0.97409557
3;11;12;-1;0.018199274;0.97743259
3;12;9;-1;0.015106923;0.98469787
3;12;10;0;0.004638832;0.98109999
